granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,govt_reemployees,filename
MOFA,NA,2014-01-27,2014 Jan,2014,2085459,0,北九州国際技術協力協会,NA,"公益財団法人北九州国際技術協力協会
福岡県北九州市八幡東区平野1-1-1",NA,"独立行政法人国際協力機構
九州国際センター所長　勝田幸秀
福岡県北九州市八幡東区平野2-2-1",平成25年度草の根技術協力事業（地域経済活性化特別枠）「ハイフォン市製造業の技術力・経営力向上ノウハウ移転プログラム（1年次）」に係る委託契約,Goods and Services,公財,国所管,81,Negotiated,0,h25_youshiki3_4
MAFF,NA,2014-01-28,2014 Jan,2014,1260000,0,長野県公共嘱託登記土地家屋調査士協会,NA,"公益社団法人長野県公共嘱託登記土地家屋調査士協会
長野県長野市大字南長野妻科399-2",NA,"分任支出負担行為担当官
南信森林管理署長
田中徹
長野県伊那市山寺1499-1","下諏訪森林事務所敷ほか地積整理業務ほか
1式",Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki2_3
MEXT,NA,2014-01-28,2014 Jan,2014,7434000,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込２－２８－４５",NA,根本　伸一郎　東海研究開発センター管理部長　茨城県那珂郡東海村白方白根2番地の4,コバルト密封線源の購入：1式,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MLIT,NA,2014-01-29,2014 Jan,2014,9901500,9901717,鉄道総合技術研究所,NA,"公益財団法人鉄道総合技術研究所
東京都国立市光町２－８－３８",NA,"支出負担行為担当官
国土交通省大臣官房会計課長
平垣内　久隆
東京都千代田区霞ヶ関２－１－３",ラーメン高架橋の効果的な補強方法に関する調査,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki2_4
MHLW,NA,2014-01-30,2014 Jan,2014,1950000,8061375,HLA研究所,NA,"公益財団法人ＨＬＡ研究所
京都府京都市下京区中堂寺南町134",NA,"支出負担行為担当官
国立医薬品食品衛生研究所　総務部長　日下田　敏彦
東京都世田谷区上用賀1-18-1",副作用発症患者試料に関するヒト白血球抗原（ＨＬＡ）遺伝子型検査　一式,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki2_3
MOE,NA,2014-01-30,2014 Jan,2014,5425350,0,日本自動車輸送技術協会,NA,"公益財団法人日本自動車輸送技術協会
東京都千代田区六番町６　勝永六番町ビル",NA,"支出負担行為担当官
環境省大臣官房会計課長
小川　晃範
東京都千代田区霞が関1-2-2",平成25年度特定特殊自動車立入検査技術講習会等実施業務,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki2_3
MOFA,NA,2014-01-30,2014 Jan,2014,49991014,0,ジョイセフ,NA,"公益財団法人ジョイセフ
東京都新宿区市谷田町1-10",NA,"独立行政法人国際協力機構
地球ひろば所長　芳賀克彦
東京都新宿区市谷本村町10-5",平成25年度草の根技術協力事業（パートナー型）「ミャンマー国農村地域における妊産婦の健康改善のためのコミュニティ能力強化プロジェクト（1年次）」に係る委託契約,Goods and Services,公財,国所管,26,Negotiated,0,h25_youshiki3_4
MHLW,NA,2014-01-31,2014 Jan,2014,2396100,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構岩国医療センター
院長　竹内　仁司
山口県岩国市愛宕町1-1-1",ＰＥＴ－ＣＴ用線源　一式,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-01-31,2014 Jan,2014,5768010,0,国際厚生事業団,NA,"公益社団法人国際厚生事業団
東京都港区虎ノ門2-3-20",NA,"独立行政法人国際協力機構
東京国際センター所長　佐々木十一郎
東京都渋谷区西原2-49-5",平成25年度集団研修「母子保健福祉行政」に係る研修委託契約,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MEXT,NA,2014-02-01,2014 Feb,2014,4000100,0,がん研究会,NA,"公益財団法人がん研究会
東京都江東区有明3-8-31",NA,"分任研究契約担当者
執行役(産学連携事業担当)
齊藤仁志",A-STEPｼｰｽﾞ顕在化採択課題に係る研究委託費,Goods and Services,公財,国所管,337,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-02-03,2014 Feb,2014,49089240,0,国際農林業協働協会,NA,"共同企業体代表者　NTCインターナショナル株式会社
東京都新宿区四谷3-5
構成員　公益社団法人国際農林業協働協会",NA,"独立行政法人国際協力機構
契約担当役　理事　小寺清
東京都千代田区二番町5-25",コートジボワール国国産米振興プロジェクト（第1年次）業務実施契約,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-02-03,2014 Feb,2014,208356840,0,日本生産性本部,NA,"共同企業体代表者　ユニコインターナショナル株式会社
東京都中央区日本橋浜町2-62-6
構成員　公益財団法人日本生産性本部",NA,"独立行政法人国際協力機構
契約担当役　理事　小寺清
東京都千代田区二番町5-25",ザンビア国品質・生産性向上（カイゼン）展開プロジェクト業務実施契約,Goods and Services,公財,国所管,2,Negotiated,0,h25_youshiki3_4
MAFF,NA,2014-02-04,2014 Feb,2014,1909005,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人水産総合研究センター
中央水産研究所長　時村　宗春
神奈川県横浜市金沢区福浦2-12-4",ＲＩ廃棄物廃棄業務,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MOE,NA,2014-02-04,2014 Feb,2014,9146292,10066170,日本科学技術振興財団,NA,"公益財団法人日本科学技術振興財団
理事長　榊原　定征
東京都千代田区北の丸公園2-1",NA,"独立行政法人環境再生保全機構
契約担当職　理事 栗山　俊勝
神奈川県川崎市幸区大宮町1310",「記録で見る大気汚染と裁判」ホームページのシステム移行等業務,Goods and Services,公財,国所管,2,Negotiated,0,h25_youshiki3_3
MOF,NA,2014-02-05,2014 Feb,2014,1302000,2436000,岩手県公共嘱託登記土地家屋調査士協会,NA,"公益社団法人岩手県公共嘱託登記土地家屋調査士協会
岩手県盛岡市中野１－２０－３３",NA,"分任支出負担行為担当官
東北財務局盛岡財務事務所長
今野　信弥
岩手県盛岡市内丸７－２５","（Ｈ２５）国有財産測量等業務(一関市関が丘)
５箇所",Goods and Services,公社,国所管,2,Negotiated,0,h25_youshiki2_3
MEXT,NA,2014-02-06,2014 Feb,2014,17022600,0,若狭湾エネルギ-研究センタ-,NA,"公益財団法人若狭湾エネルギー研究センター
福井県敦賀市長谷６４－５２－１",NA,関野　英夫　敦賀本部業務統括部長　福井県敦賀市木崎65-20,「原子力施設等の安全に係わるセミナー」及び「原子力行政に係わるセミナー」に関する研修運営作業：1式,Goods and Services,公財,国所管,2,Negotiated,0,h25_youshiki3_4
MOF,NA,2014-02-06,2014 Feb,2014,11445780,11445780,日本生産性本部,NA,"公益財団法人日本生産性本部
東京都渋谷区渋谷3-1-1",NA,"独立行政法人国立印刷局
小田原工場長　渡部　純
神奈川県小田原市酒匂6-2-1","研修センター講師委託
一式",Goods and Services,公財,国所管,5,Negotiated,0,h26_youshiki3-4
MEXT,NA,2014-02-07,2014 Feb,2014,1575000,0,深田地質研究所,NA,公益財団法人深田地質研究所                               東京都文京区本駒込2-13-12,NA,"独立行政法人海洋研究開発機構
分任契約担当役 　経理部長　藤井　泰規
神奈川県横須賀市夏島町2-15",潜航映像記録からの情報抽出,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_3
MLIT,NA,2014-02-07,2014 Feb,2014,1470000,1627500,全国国土調査協会,NA,"公益社団法人全国国土調査協会
東京都千代田区永田町１－１１－３２全国町村会館西館８階",NA,"土地・建設産業局長
毛利　信二
東京都千代田区霞が関２－１－３",山村境界基本調査実施のための基礎資料作成業務,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki2_3
MOFA,NA,2014-02-07,2014 Feb,2014,10450688,0,北九州国際技術協力協会,NA,"公益財団法人北九州国際技術協力協会
福岡県北九州市八幡東区平野1-1-1",NA,"独立行政法人国際協力機構
九州国際センター所長　勝田幸秀
福岡県北九州市八幡東区平野2-2-1",平成25年度集団研修「太陽光発電技術（Ｂ）」に係る研修委託契約,Goods and Services,公財,国所管,0,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-02-07,2014 Feb,2014,1632227,0,北九州国際技術協力協会,NA,"公益財団法人北九州国際技術協力協会
福岡県北九州市八幡東区平野1-1-1",NA,"独立行政法人国際協力機構
九州国際センター所長　勝田幸秀
福岡県北九州市八幡東区平野2-2-1",平成25年度有償勘定研修「ベトナム生産性向上のための実践的経営管理（B）」に係る研修委託契約,Goods and Services,公財,国所管,0,Negotiated,0,h25_youshiki3_4
MLIT,NA,2014-02-10,2014 Feb,2014,1663200,1663200,日本河川協会,NA,"公益社団法人日本河川協会
東京都千代田区麹町２－６－５",NA,"支出負担行為担当官
中国地方整備局長　栗田　悟
広島県広島市中区上八丁堀６－３０",図書「河川事業関係例規集（平成２５年度版）」購入,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki2_4
MOFA,NA,2014-02-10,2014 Feb,2014,2411381,0,セカンドハンド,NA,"公益社団法人セカンドハンド
香川県高松市観光通1-1-18",NA,"独立行政法人国際協力機構
四国支部長　水谷恭二
香川県高松市番町1-1-5",平成25年度草の根技術協力事業（地域経済活性化特別枠）「救急医療における人材育成を通じた国際協力（カンボジア）プロジェクト」に係る委託契約,Goods and Services,公社,国所管,81,Negotiated,0,h25_youshiki3_4
MHLW,NA,2014-02-12,2014 Feb,2014,9460500,9638199,日本食品衛生協会,NA,"公益社団法人日本食品衛生協会
東京都渋谷区神宮前２－６－１",NA,"支出負担行為担当官
厚生労働省大臣官房会計課長　吉岡　てつを
東京都千代田区霞が関１－２－２",食品製造におけるＨＡＣＣＰによる衛生管理の普及のための調査及び手引き作成事業,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki2_4
MOD,NA,2014-02-12,2014 Feb,2014,1350258,1350258,自動車リサイクル促進センタ-,NA,"公益財団法人自動車リサイクル促進センター　資金管理センター
東京都港区芝大門１丁目１－３０",NA,"陸上自衛隊補給統制本部
調達会計部長　太田　久光
東京都北区十条台１－５－７０",使用済自動車リサイクル券 他14品目,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki2_4
METI,NA,2014-02-13,2014 Feb,2014,6131216,－（他の契約の予定価格を類推される恐れがあると認められるため非公表）,全国火薬類保安協会,NA,"公益社団法人全国火薬類保安協会
（東京都中央区八丁堀4-13-5）",NA,"契約担当職
黒羽　義雄
（茨城県つくば市東1-1-1）",火薬庫の安全性の検討に係る委員会の設置・運営に関わる事務局業務委託,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-02-13,2014 Feb,2014,1823656,0,太平洋人材交流センタ-,NA,"公益財団法人太平洋人材交流センター
大阪府大阪市天王寺区上本町8-2-6",NA,"独立行政法人国際協力機構
関西国際センター所長　築野元則
兵庫県神戸市中央区脇浜海岸通1-5-2",平成25年度地域別研修「メコン地域観光振興」に係る研修委託契約,Goods and Services,公財,国所管,0,Negotiated,0,h25_youshiki3_4
MEXT,NA,2014-02-14,2014 Feb,2014,24284794,24284794,日本バレエ協会,NA,公益社団法人日本バレエ協会 東京都品川区西五反田７－１７宮下ビル３階,NA,文化庁次長 河村　潤子 東京都千代田区霞が関3-2-2,次代の文化を創造する新進芸術家育成事業（特色ある文化芸術活動推進）「バレエにおける若手振付家、若手舞踊家の育成のための基盤形成事業」－Ｊａｐａｎｅｓｅ　Ｃｈｏｒｅｏｇｒａｐｈｅｒｓ　バレエの夕べ―,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki2_4
MHLW,NA,2014-02-14,2014 Feb,2014,3497602,0,パブリックヘルスリサ-チセンタ-,NA,"公益財団法人パブリックヘルスリサーチセンター
大阪府大阪市西区西本町1-3-15",NA,"独立行政法人国立病院機構大阪南医療センター
院長　竹田　清
大阪府河内長野市木戸東町2-1",看護学生健康診断業務委託　一式,Goods and Services,公財,国所管,4,Negotiated,0,h25_youshiki3_3
MOFA,NA,2014-02-20,2014 Feb,2014,20000000,同種の他の契約の予定価格を類推させる恐れがあるため公表しない,国際演劇協会日本センタ-,NA,"公益社団法人国際演劇協会日本センター
東京都渋谷区千駄ヶ谷4-18-1",NA,"独立行政法人国際交流基金　　　　本部
契約担当職　理事  田口栄治
東京都新宿区四谷4-4-1",「ベトナム舞台芸術関係者中期招聘」に係る業務委託契約,Goods and Services,公社,国所管,0,Negotiated,0,h25_youshiki3_4
MLIT,NA,2014-02-24,2014 Feb,2014,19980000,NA,鉄道総合技術研究所,NA,"公益財団法人鉄道総合技術研究所
東京都国分寺市光町2-8-38",NA,"鉄道建設本部九州新幹線建設局長　
湯山　和利
福岡県福岡市博多区祇園町２-１",九州新幹線（西九州）、29k1・33k9間支持力評価,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_4
MEXT,NA,2014-02-27,2014 Feb,2014,33768000,0,日本科学技術振興財団,NA,"公益財団法人日本科学技術振興財団
東京都千代田区北の丸公園２－１",NA,"経営管理部長　鈴木武
独立行政法人国立科学博物館
東京都台東区上野公園7-20",独立行政法人国立科学博物館地球館Ⅰ期展示改修設計・施工監理業務,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_3
MEXT,NA,2014-02-27,2014 Feb,2014,1982000,0,未来工学研究所,NA,"公益財団法人未来工学研究所
東京都江東区深川２－６－１１",NA,鈴木和弘　契約部長　東京都調布市深大寺東町7-44-1,平成２５年度　アジア地域の宇宙産業動向に関する調査　一式,Goods and Services,公財,国所管,2,Negotiated,0,h25_youshiki3_3
METI,NA,2014-02-28,2014 Feb,2014,359100,予定価格省略（契約事務取扱要領第37条第1項第2号に該当）,日本消防協会,NA,"公益財団法人日本消防協会
東京都港区虎ノ門2丁目9番16号",NA,"資源備蓄本部長
日向　直之
東京都港区虎ノ門二丁目10番1号",第10回　石油・石油ガス備蓄業務改善活動発表会　ホール使用料後納金,Goods and Services,公財,国所管,0,Negotiated,0,h25_youshiki3_4
MLIT,NA,2014-02-28,2014 Feb,2014,3228750,3255914,航空医学研究センタ-,NA,"財団法人航空医学研究センター
東京都大田区羽田空港１－７－１",NA,"支出負担行為担当官
田村　明比古
航空局
東京都千代田区霞ヶ関２－１－３",航空身体検査証明データベース・システムに関する基礎調査,Goods and Services,特財,国所管,2,Negotiated,0,h25_youshiki2_3
MLIT,NA,2014-03-03,2014 Mar,2014,9220000,NA,鉄道総合技術研究所,NA,"公益財団法人鉄道総合技術研究所
東京都国分寺市光町2-8-38",NA,"鉄道建設本部東京支社長
太野垣　泰博
東京都港区芝公園２－４－１",相鉄・東急直通線へのき電用電力貯蔵設備の検討,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-03-03,2014 Mar,2014,3298596,同種の他の契約の予定価格を類推させる恐れがあるため公表しない,能楽協会,NA,"公益社団法人能楽協会
東京都新宿区高田馬場4-40-13",NA,"独立行政法人国際交流基金　　　　本部
契約担当職　理事  田口栄治
東京都新宿区四谷4-4-1",海外派遣「狂言欧州巡回公演」公演団契約,Goods and Services,公社,国所管,0,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-03-03,2014 Mar,2014,19985461,0,青年海外協力協会,NA,"公益社団法人青年海外協力協会
東京都千代田区一番町23-3",NA,"独立行政法人国際協力機構
地球ひろば所長　芳賀克彦
東京都新宿区市谷本村町10-5",国際協力レポーター2014運営事務局業務委託契約,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_3
MLIT,NA,2014-03-05,2014 Mar,2014,15768000,NA,鉄道総合技術研究所,NA,"公益財団法人鉄道総合技術研究所
東京都国分寺市光町2-8-38",NA,"鉄道建設本部青森新幹線建設局長
上田　日出男
青森県青森市新町２－２－４",「北海道新幹線（本州方）新設区間斜面評価他」の委託について,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_4
MOFA,NA,2014-03-06,2014 Mar,2014,22529613,0,青年海外協力協会,NA,"公益社団法人青年海外協力協会
東京都千代田区一番町23-3",NA,"独立行政法人国際協力機構
地球ひろば所長　芳賀克彦
東京都新宿区市谷本村町10-5",平成25-26年度JICA地球ひろば開発教育関連研修プログラム運営事務局業務委託契約,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_3
MOD,NA,2014-03-11,2014 Mar,2014,5335000,5335000,水交会,NA,"公益財団法人　水交会
東京都渋谷区神宮前１丁目５番３号",NA,"海上自衛隊東京業務隊
会計科長　大迫　幹成
東京都新宿区市谷本村町5番1号",苦心の足跡（第５巻：船務・航海）　1067冊,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki2_4
CAO,NA,2014-03-13,2014 Mar,2014,2377200,他の契約の予定価格を類推されるおそれがあるため公表しない,高度映像情報センタ-,NA,"財団法人高度映像情報センター
千代田区霞が関３－２－１",NA,"独立行政法人国立公文書館長  加藤丈夫
千代田区北の丸公園３－２",国立公文書館本館会議室映像機器の購入,Goods and Services,特財,国所管,4,Negotiated,0,h25_youshiki3_3
MEXT,NA,2014-03-13,2014 Mar,2014,29190000,31895850,文化財建造物保存技術協会,NA,"公益財団法人文化財建造物保存技術協会
東京都荒川区西日暮里２－３２－１５",NA,"奈良国立博物館　分任契約担当役　副館長　清水功
奈良県奈良市登大路町50",奈良国立博物館なら仏像館保存修理設計業務,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_4
MEXT,NA,2014-03-13,2014 Mar,2014,9373320,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込２－２８－４５",NA,鈴木和弘　契約部長　東京都調布市深大寺東町7-44-1,Ｆｅ－５５Ｘ線源の購入　一式,Goods and Services,公社,国所管,0,Negotiated,0,h25_youshiki3_4
Consumer Affairs Agency,NA,2014-03-14,2014 Mar,2014,25745148,同種の他の契約の予定価格を類推させるおそれがあるため公表しない,全国消費生活相談員協会,NA,"公益社団法人全国消費生活相談員協会
東京都中央区日本橋堀留町2-3-5",NA,"独立行政法人国民生活センター
理事長　　松本　恒雄
神奈川県相模原市中央区弥栄3-1-1",平成26年度消費者問題出前講座の実施業務,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_3
MEXT,NA,2014-03-14,2014 Mar,2014,3720344,0,日本ボ-ト協会,NA,"公益社団法人日本ボート協会
東京都渋谷区神南1-1-1",NA,"契約担当役
独立行政法人日本ｽﾎﾟｰﾂ振興ｾﾝﾀｰ
理事長　河野一郎
東京都新宿区霞ヶ丘町10-1",国立ｽﾎﾟｰﾂ科学ｾﾝﾀｰ戸田艇庫の土地賃貸借,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MHLW,NA,2014-03-14,2014 Mar,2014,11173680,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構南京都病院　院長　宮野前健
京都府城陽市中芦原11",ラジオアイソトープ医薬品購入契約,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-14,2014 Mar,2014,12214368,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構都城病院　院長　小柳左門
宮崎県都城市祝吉町5033番地1",放射性医薬品,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MIAC,NA,2014-03-14,2014 Mar,2014,5832000,0,未来工学研究所,NA,"公益財団法人未来工学研究所
東京都江東区深川2-6-11",NA,"情報通信研究機構
契約担当理事
髙﨑　一郎
東京都小金井市貫井北町4-2-1",平成26年度 CRYPTREC暗号技術評価委員会関連の事務局運営業務,Goods and Services,公財,国所管,1,Competitive,NA,h26_youshiki3-3
MOFA,NA,2014-03-14,2014 Mar,2014,2925880,0,青年海外協力協会,NA,"公益社団法人青年海外協力協会
東京都千代田区一番町23-3",NA,"独立行政法人国際協力機構
契約担当役　理事　小寺清
東京都千代田区二番町5-25",青年海外協力隊帰国後の社会還元・進路状況調査業務,Goods and Services,公社,国所管,2,Negotiated,0,h25_youshiki3_3
MEXT,NA,2014-03-17,2014 Mar,2014,11298000,0,地球環境産業技術研究機構,NA,"公益財団法人地球環境産業技術研究機構
京都府木津川市木津川台９－２",NA,鈴木和弘　契約部長　東京都調布市深大寺東町7-44-1,平成２５年度　将来環境制御システム用二酸化炭素吸着剤の製造及び寿命評価　一式,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki3_4
MHLW,NA,2014-03-17,2014 Mar,2014,26006400,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構金沢医療センター　院長　能登裕
石川県金沢市下石引町1番1号",放射性医薬品の調達,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-17,2014 Mar,2014,15760900,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構三重中央医療センター　院長　森本保
三重県津市久居明神町2158番地5",放射性医薬品購入契約,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MOFA,NA,2014-03-17,2014 Mar,2014,21154182,0,青年海外協力協会,NA,"公益社団法人青年海外協力協会
東京都千代田区一番町23-3",NA,"独立行政法人国際協力機構
東北支部長　半谷良三
宮城県仙台市青葉区一番町4-6-1",平成24年度補正予算草の根技術協力事業（地域活性化特別枠）に係る支援業務委託契約,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki3_4
MLIT,NA,2014-03-18,2014 Mar,2014,20520000,21394800,全国国土調査協会,NA,"公益社団法人全国国土調査協会
東京都千代田区永田町１－１１－３２全国町村会館西館8階",NA,"土地・建設産業局長
毛利　信二
東京都千代田区霞が関２－１－３",平成25年度都市部官民境界基本調査に係る監督補助業務（その２）,Goods and Services,公社,国所管,1,Negotiated,0,h25_youshiki2_3
MHLW,NA,2014-03-19,2014 Mar,2014,9393192,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構小倉医療センター　院長　岡嶋泰一郎
福岡県北九州市小倉南区春ヶ丘10-1",放射性医薬品の単価契約,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-19,2014 Mar,2014,30076056,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構沖縄病院　院長　石川清司
沖縄県宜野湾市我如古３－２０－１４",放射性医薬品の購入,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-19,2014 Mar,2014,92166600,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込２－２８－４５",NA,"独立行政法人国立国際医療研究センター　総長　春日雅人
東京都新宿区戸山１－２１－１",平成26年度放射性医薬品,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-20,2014 Mar,2014,12116088,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構あきた病院　院長　間宮繁夫
秋田県由利本荘市岩城内道川字井戸ノ沢84-40",放射性医薬品の購入・廃棄,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-20,2014 Mar,2014,39490200,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構宮城病院　院長　清野仁
宮城県亘理郡山元町高瀬字合戦原100",放射線医薬品,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-20,2014 Mar,2014,26335152,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構水戸医療センター　院長　園部眞
茨城県東茨城郡茨城町桜の郷280番地",放射性医薬品の単価契約,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-20,2014 Mar,2014,141653880,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構名古屋医療センター　院長　直江知樹
愛知県名古屋市中区三の丸4-1-1",放射性医薬品（単価契約）,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-20,2014 Mar,2014,39490200,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45
法人番号7010005018674",7010005018674,"独立行政法人国立病院機構宮城病院
院長　清野　仁
宮城県亘理郡山元町高瀬字合戦原100",放射線医薬品,Goods and Services,公社,国認定,1,Negotiated,0,h27_youshiki3-4
METI,NA,2014-03-24,2014 Mar,2014,3637428,3637428,ちゅうごく産業創造センタ-,NA,"公益財団法人ちゅうごく産業創造センター
広島県広島市中区小町４番３３号中電ビル２号館",NA,中国経済産業局　広島市中区上八丁堀６－３０ 支出負担行為担当官　中国経済産業局総務企画部長　島上聖司,平成２５年度補正予算事業　地域オープンイノベーション促進事業（運営協議会の設置及び運営に関する業務）（中国地域）,Goods and Services,公財,国所管,1,Negotiated,0,h25_youshiki2_4
MHLW,NA,2014-03-24,2014 Mar,2014,103681728,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構北海道がんセンター　院長　近藤啓史
北海道札幌市白石区菊水4条2丁目3-54","施設独自調達放射性医薬品
（H26.4～H28.3）",Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-24,2014 Mar,2014,54771552,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構北海道がんセンター　院長　近藤啓史
北海道札幌市白石区菊水4条2丁目3-54","政府調達放射性医薬品
（H26.4～H27.3）",Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-24,2014 Mar,2014,36779508,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構大阪南医療センター　院長　竹田清
大阪府河内長野市木戸東町2-1",放射性医薬品,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-24,2014 Mar,2014,21279240,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構熊本医療センター　院長　河野文夫
熊本県熊本市中央区二の丸1-5",放射性医薬品単価契約,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-24,2014 Mar,2014,14568444,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",NA,"独立行政法人国立病院機構宮崎東病院　院長　比嘉利信
宮崎県宮崎市大字田吉4374-1",放射性医薬品,Goods and Services,公社,国所管,1,Negotiated,0,h26_youshiki3-4
MHLW,NA,2014-03-24,2014 Mar,2014,103681728,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45
法人番号7010005018674",7010005018674,"独立行政法人国立病院機構北海道がんセンター
院長　近藤　啓史
北海道札幌市白石区菊水4条2丁目3-54","施設独自調達放射性医薬品
（H26.4～H28.3）",Goods and Services,公社,国認定,1,Negotiated,0,h27_youshiki3-4
